year,category,questions,question_to_answer_ratio,accepted_answer_rate,yoy_change_q_to_a_ratio,yoy_change_accepted_rate
2021,dbt_only,58,1.1379310344827587,0.25862068965517243,-0.24916573971078981,-0.160734149054505
2020,dbt_only,31,1.3870967741935485,0.41935483870967744,,
2021,python_only,15811,1.5215356397444817,0.43014357093162986,-0.12807065946811669,-0.024826901509315047
2020,python_only,16256,1.6496062992125984,0.45497047244094491,-0.053903319486980905,-0.033135436681305641
2019,python_only,14503,1.7035096186995793,0.48810590912225055,0.011327769207586824,-0.0038865138155830814
2018,python_only,11614,1.6921818494919925,0.49199242293783363,-0.0069536465278654536,0.00068025996599418992
2017,python_only,11683,1.6991354960198579,0.49131216297183944,-0.1347778837171878,-0.0339198555896455
2016,python_only,10344,1.8339133797370457,0.52523201856148494,-0.065892366096713673,-0.043728210453953142
2015,python_only,9781,1.8998057458337594,0.56896022901543808,-0.06716157289647362,-0.04565848950394813
2014,python_only,8537,1.966967318730233,0.61461871851938621,-0.3438141111201316,-0.037127029018662161
2013,python_only,7819,2.3107814298503646,0.65174574753804837,-0.3188932961889468,-0.0690752648119255
2012,python_only,5749,2.6296747260393114,0.72082101234997387,,
2021,python_plus_dbt,15869,1.5201335937992313,0.42951666771693237,-0.12897305567581019,-0.025386015404575579
2020,python_plus_dbt,16287,1.6491066494750415,0.45490268312150794,-0.0544029692245378,-0.0332032260007426
2019,python_plus_dbt,14503,1.7035096186995793,0.48810590912225055,0.011327769207586824,-0.0038865138155830814
2018,python_plus_dbt,11614,1.6921818494919925,0.49199242293783363,-0.0069536465278654536,0.00068025996599418992
2017,python_plus_dbt,11683,1.6991354960198579,0.49131216297183944,-0.1347778837171878,-0.0339198555896455
2016,python_plus_dbt,10344,1.8339133797370457,0.52523201856148494,-0.065892366096713673,-0.043728210453953142
2015,python_plus_dbt,9781,1.8998057458337594,0.56896022901543808,-0.06716157289647362,-0.04565848950394813
2014,python_plus_dbt,8537,1.966967318730233,0.61461871851938621,-0.3438141111201316,-0.037127029018662161
2013,python_plus_dbt,7819,2.3107814298503646,0.65174574753804837,-0.3188932961889468,-0.0690752648119255
2012,python_plus_dbt,5749,2.6296747260393114,0.72082101234997387,,
