title_length_bucket,body_length_bucket,has_code_block,has_links,questions,answer_rate,accepted_answer_rate
short,medium,true,false,79151,0.8116890500435876,0.45037965407891245
medium,medium,true,false,302834,0.79826901867029465,0.44958293982842085
medium,short,true,false,67788,0.82462972797545286,0.43873546940461439
short,short,true,false,21934,0.83372845810157747,0.43594419622503877
short,medium,true,true,31763,0.77829550105468626,0.43487705821238548
medium,medium,true,true,125575,0.76582918574557035,0.4298387417877762
short,long,true,true,40565,0.75291507457167506,0.4282756070504129
medium,long,true,false,205562,0.75130617526585652,0.42465047041768422
medium,long,true,true,201258,0.73905633564876927,0.41985411760029417
long,medium,true,false,65371,0.77520613115907666,0.41948264520964956
short,long,true,false,44213,0.76097527876416438,0.41804446655960914
short,short,true,true,2624,0.78010670731707321,0.40853658536585363
short,long,false,false,886,0.7765237020316027,0.40632054176072235
long,long,true,false,59606,0.73403684192866492,0.40185551790088248
long,medium,true,true,25809,0.74470146073075283,0.39439730326630246
long,long,true,true,60052,0.71752814227669348,0.3938253513621528
medium,short,true,true,7966,0.77780567411498869,0.39342204368566408
long,short,true,false,12057,0.80476071991374309,0.38525337977938129
medium,long,false,false,4054,0.74642328564380855,0.3635915145535274
long,short,true,true,1346,0.76225854383358094,0.33655274888558695
long,long,false,false,1555,0.70353697749196142,0.3202572347266881
short,short,false,true,6209,0.73973264615880174,0.31647608310516989
medium,medium,false,true,40981,0.69058832141724213,0.31429198897049854
short,medium,false,true,9440,0.69735169491525428,0.31218220338983049
medium,short,false,true,21476,0.72355187185695657,0.30592289066865336
long,medium,false,true,11098,0.68652009371057843,0.29590917282393225
long,long,false,true,2091,0.646102343376375,0.29507412721186033
medium,long,false,true,4979,0.65013054830287209,0.29483832094798151
short,long,false,true,832,0.65865384615384615,0.28846153846153844
medium,medium,false,false,38680,0.6773267838676319,0.27717166494312306
medium,short,false,false,69661,0.71549360474296952,0.27003631874362988
long,medium,false,false,11943,0.65804236791425941,0.26986519300008371
short,medium,false,false,9260,0.67742980561555077,0.26695464362850974
short,short,false,false,19263,0.7158282718164356,0.26584644136427349
long,short,false,true,4625,0.68151351351351352,0.25362162162162161
long,short,false,false,17073,0.69694839805540909,0.24594388801030867
